"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of adults ever tested for HIV in 2018."
"26081002800, MI","26081002800","=""26081002800""","55.4"
"26081003100, MI","26081003100","=""26081003100""","59.7"
"26081003200, MI","26081003200","=""26081003200""","59.5"
"26081003500, MI","26081003500","=""26081003500""","57.6"
"26081003600, MI","26081003600","=""26081003600""","56.3"
"26081003700, MI","26081003700","=""26081003700""","56.9"
"26081003800, MI","26081003800","=""26081003800""","51.1"
"26081004000, MI","26081004000","=""26081004000""","50.7"
"26081004100, MI","26081004100","=""26081004100""","47.5"
"26081004200, MI","26081004200","=""26081004200""","49.6"

"Location: 49507 (Zip)"

"Census Tract Boundary Year: 2010"

"Indicator source: PolicyMap & CDC BRFSS"
"https://www.policymap.com/data/our-data-directory/#CDC%20Behavioral%20Risk%20Factor%20Surveillance%20System"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
